lat	lon	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	temperature	si	phosphate	din	irradiance	FID
-41	142				15.9166732935	0.7658952336	0.3170664971	3.4442266753	9.0316422136	SSTC
-41	142				13.6802121918	1.132195365	0.5024364218	5.8181455713	0.8506470345	SSTC
-40	-54	54.46			15.9242112543	0.8061655305	0.189274786	5.1926795006	18.4580836682	BRAZ
-40	-54	78.68			13.451377731	2.6287173244	0.4738677691	11.4839683108	0.7228866755	BRAZ
-40	-19	11842			16.3642333913	1.1275857524	0.363277559	1.5949885381	29.5399973642	SSTC
-40	-19	12003			16.2265824134	0.9385960295	0.3192334709	2.002422514	11.3787577432	SSTC
-40	-19	22578			14.6705964743	1.3247077098	0.3854348624	4.0334501367	1.6883545376	SSTC
-40	-19	2475			12.5364812148	2.6988142824	0.7347377975	8.7942040962	0.0702120488	SSTC
-40	9				14.2369030406	1.7094383784	0.4648059756	1.9853786645	21.4544053626	SSTC
-40	57	89492			16.6731577443	1.3822024073	0.2510913297	1.1455783266	17.8730207963	SSTC
-40	57	11401			16.4005003499	1.0781242312	0.2570658138	1.5245244394	6.1490217052	SSTC
-40	57	4462			16.0123951506	1.8962042256	0.3025220761	3.5328836343	2.1155051719	SSTC
-40	57	14099			15.6503440343	2.503982208	0.3318527829	5.9579586687	0.7278169352	SSTC
-40	57	13910			15.2660384354	2.7099044033	0.4176200747	6.0558168824	0.1468703923	SSTC
-40	135				16.2915794811	3.1464377324	0.320637354	0.5991313188	33.0044784546	SSTC
-40	135				13.825878261	2.9353935817	0.4254017711	2.8863722317	0.8634240778	SSTC
-40	138				16.4042042164	2.0912481195	0.3237654831	1.9219520951	33.3190765381	SSTC
-40	138				16.2450165785	1.677157979	0.4033719842	2.4527452942	8.1224597289	SSTC
-40	138				14.8452609154	1.9032773729	0.4285488271	3.4433296605	1.9800774482	SSTC
-39	-75	6985			16.3894301018	3.9057711342	0.2059036188	0.3939518867	58.3625106812	CHIL
