Gephyrocapsa huxleyi HET,lat,lon
386.0,9,-150
6052.0,9,-23
6050.0,9,-23
28747.0,9,-23
10590.0,9,-23
22100.0,9,65
22100.0,9,65
20800.0,9,65
2106.0,9,70
1771.0,9,71
330.0,9,73
360.0,9,170
33.0,10,-173
164.0,10,-156
292.0,10,-156
3691.3,10,-28
11984.9,10,-28
13411.6,10,-28
998.5,10,-28
619.8,10,-28
5295.5,10,-21
18156.0,10,-21
11700.0,10,64
691.0,10,64
3700.0,10,64
99.0,10,64
2064.0,10,65
2925.0,10,66
11552.0,10,68
150.0,10,170
480.0,11,-156
9068.2,11,-28
11955.5,11,-28
16136.9,11,-28
1065.0,11,-28
1462.5,11,-28
5294.5,11,-22
116500.0,11,-22
3026.0,11,-22
15354.0,11,61
1875.0,11,62
9240.0,11,63
872.0,11,152
233.0,11,169
297.0,11,170
203.0,12,-176
2263.0,12,-33
1240.0,12,-33
8979.0,12,-33
711.0,12,-33
4850.0,12,-31
7565.0,12,-21
16643.0,12,-21
1079.0,12,43
2310.0,12,44
424.0,12,45
363.0,12,46
390.0,12,48
15345.5,12,51
40232.0,12,52
60864.0,12,53
29515.0,12,54
40655.0,12,55
22620.0,12,57
29880.0,12,58
14118.0,12,59
434.0,12,169
599.0,13,-174
408.0,13,-156
2151.0,13,-155
661.0,13,-117
1194.3,13,-29
5890.0,13,-29
8068.4,13,-29
2048.1,13,-29
1203.8,13,-29
19669.0,13,-22
1500.0,13,-22
4540.0,13,-21
442.0,13,168
183.0,14,-168
952.0,14,-156
1647.0,14,-34
945.0,14,-34
594.0,14,-31
670.0,14,-31
1702.0,14,-31
1220.0,14,-31
398.0,14,-31
1324.5,14,64
260.0,14,64
260.0,14,64
494.0,14,64
493.0,14,64
15100.0,14,65
20300.0,14,65
300.0,14,65
535.0,14,166
470.0,14,167
58.0,15,-156
119.0,15,-96
11672.9,15,-29
8590.1,15,-29
12024.6,15,-29
1459.8,15,-29
1282.3,15,-29
5295.5,15,61
14373.5,15,61
6052.0,15,61
1510.0,15,61
750.0,15,61
750.0,15,61
750.0,15,61
1609.0,15,164
301.0,15,166
675.0,16,-167
493.0,16,-162
616.0,16,-157
1139.0,16,-111
1102.0,16,59
